PRPERTYP
PRTAGE
PESEX
PTDTRACE
PEHSPNON
PRDTHSP
PEEDUCA
PECERT1
PRDISFLG
PEAFEVER
PEMARITL
PENATVTY
PEMLR
PRWKSTAT
PRERNWA
PRERNHLY
PRSJMJ
PEHRUSLT
PEHRUSL1
PEHRUSL2
PEHRACTT
PEHRACT1
PEHRACT2
PEIO1OCD
PRDTOCC1
PRMJOCC1
PRMJOCGR
PEIO1COW
PRCOW1
PRDTCOW1
PEIO1ICD
PRDTIND1
PRIMIND1
PRMJIND1
GESTFIPS
GTCBSA
GTCO
PWFMWGT
PWLGWGT
PWORWGT
PWSSWGT
PWVETWGT
PWCMPWGT
HWHHWGT
HRMONTH
HRYEAR4
HRHHID
HRHHID2
PULINENO
